group,model,display_name,task,source_task,task_name,factor,low_level,high_level,delta_high_minus_low,se,p_value,ci_low,ci_high,n_low,n_high
text,human,Human,Task4,task4,Layer Count,perspective,0.0,1.0,0.0033333333333332993,0.006954067456120267,0.63173479857873,-0.010296638880662424,0.01696330554732902,1500,1500
text,human,Human,Task4,task4,Layer Count,offset,3.0,12.5,0.004666666666666708,0.006953811635122407,0.5022120370927388,-0.008962804138173209,0.018296137471506622,1500,1500
text,human,Human,Task5,task5,Visible Object Count,perspective,0.0,1.0,-0.03200000000000003,0.015407300973310936,0.037892501932848585,-0.06219830990768946,-0.0018016900923105948,1500,1500
text,human,Human,Task5,task5,Visible Object Count,offset,3.0,12.5,0.07333333333333336,0.015360100776730654,1.8911271493231927e-06,0.043227535810941284,0.10343913085572544,1500,1500
text,human,Human,Task6,task2,Top Layer,perspective,0.0,1.0,0.024666666666666726,0.006759219675845984,0.00026790745604529057,0.011418596102008597,0.03791473723132485,1500,1500
text,human,Human,Task6,task2,Top Layer,offset,3.0,12.5,0.0006666666666667043,0.006774204934474261,0.921611302681793,-0.012610775004902847,0.013944108338236255,1500,1500
text,human,Human,Task7,task6,Direct Support,perspective,0.0,1.0,-0.0006666666666665932,0.01460166118551658,0.9635867531061063,-0.02928592259027909,0.027952589256945902,1500,1500
text,human,Human,Task7,task6,Direct Support,offset,3.0,12.5,0.010000000000000009,0.014600524033514025,0.4934556222610387,-0.01861702710568748,0.0386170271056875,1500,1500
text,human,Human,Task8,task7,Support Column,perspective,0.0,1.0,-0.006000000000000005,0.013557674592651947,0.658120462516558,-0.03257304220159782,0.02057304220159781,1500,1500
text,human,Human,Task8,task7,Support Column,offset,3.0,12.5,0.01666666666666672,0.013554700070581042,0.21894889705668158,-0.009900545471672125,0.043233878805005566,1500,1500
text,human,Human,Task9,task8,Hidden Object Count,perspective,0.0,1.0,0.0040000000000000036,0.014628855378344807,0.7845398449446881,-0.024672556541555816,0.03267255654155582,1500,1500
text,human,Human,Task9,task8,Hidden Object Count,offset,3.0,12.5,0.046666666666666634,0.014604189000844805,0.0014108331651721778,0.018042456225010817,0.07529087710832245,1500,1500
text,human,Human,Target1,main,Object Counting,perspective,0.0,1.0,-0.0040000000000000036,0.0139923208182121,0.7749966087916569,-0.031424948803695715,0.02342494880369571,1500,1500
text,human,Human,Target1,main,Object Counting,offset,3.0,12.5,0.016000000000000014,0.013989459907761239,0.2528319455370439,-0.011419341419212012,0.04341934141921204,1500,1500
text,human,Human,Target2a,task10,Mental Rotation 90,perspective,0.0,1.0,-0.062,0.018181755581054084,0.0006581894469172387,-0.097636240938866,-0.026363759061133994,1500,1500
text,human,Human,Target2a,task10,Mental Rotation 90,offset,3.0,12.5,0.011333333333333306,0.018215805794900813,0.5338772071768172,-0.024369646024672287,0.0470363126913389,1500,1500
text,human,Human,Target2b,task11,Mental Rotation 180,perspective,0.0,1.0,-0.03666666666666668,0.018187657838090662,0.043887014893814046,-0.07231447602932438,-0.0010188573040089827,1500,1500
text,human,Human,Target2b,task11,Mental Rotation 180,offset,3.0,12.5,-0.0020000000000000018,0.018199945344026053,0.9125036194505894,-0.03767189287429106,0.03367189287429106,1500,1500
text,kimi,Kimi,Task2,task9,Cluster Count,perspective,0.0,1.0,0.015333333333333365,0.01784881201734887,0.3903719915012255,-0.019650338220670423,0.050317004887337154,1500,1500
text,kimi,Kimi,Task2,task9,Cluster Count,offset,3.0,12.5,0.003333333333333355,0.01785090493247637,0.8518834807518562,-0.031654440334320334,0.038321107000987044,1500,1500
text,kimi,Kimi,Task3,task3,Column Count,perspective,0.0,1.0,-0.02333333333333333,0.009805385180289318,0.017392701809629766,-0.042551888286700396,-0.00411477837996627,1500,1500
text,kimi,Kimi,Task3,task3,Column Count,offset,3.0,12.5,-0.004666666666666666,0.009814271087640259,0.6344666977057096,-0.023902637998441573,0.014569304665108241,1500,1500
text,kimi,Kimi,Task4,task4,Layer Count,perspective,0.0,1.0,-0.024666666666666615,0.0172174071088879,0.1520597168157611,-0.0584127846000869,0.00907945126675367,1500,1500
text,kimi,Kimi,Task4,task4,Layer Count,offset,3.0,12.5,0.0020000000000000018,0.017223261115284175,0.9075636089325231,-0.03175759178595698,0.035757591785956985,1500,1500
text,kimi,Kimi,Task5,task5,Visible Object Count,perspective,0.0,1.0,-0.025333333333333333,0.01162900939934741,0.02945017303284121,-0.04812619175605426,-0.0025404749106124093,1500,1500
text,kimi,Kimi,Task5,task5,Visible Object Count,offset,3.0,12.5,-0.015999999999999986,0.011634540729581401,0.16916779588926242,-0.038803699829979534,0.006803699829979561,1500,1500
text,kimi,Kimi,Task6,task2,Top Layer,perspective,0.0,1.0,0.04133333333333333,0.016407005523775768,0.011812244286573128,0.009175602506732827,0.07349106415993384,1500,1500
text,kimi,Kimi,Task6,task2,Top Layer,offset,3.0,12.5,-0.009333333333333305,0.01642347817115202,0.5698791898456741,-0.04152335054879126,0.022856683882124654,1500,1500
text,kimi,Kimi,Task7,task6,Direct Support,perspective,0.0,1.0,0.04733333333333334,0.016148952719318016,0.003403844030561965,0.01568138600347003,0.07898528066319666,1500,1500
text,kimi,Kimi,Task7,task6,Direct Support,offset,3.0,12.5,0.006000000000000005,0.01617170303180617,0.7106500145934953,-0.025696537942340093,0.037696537942340104,1500,1500
text,kimi,Kimi,Task8,task7,Support Column,perspective,0.0,1.0,0.04000000000000001,0.015728781241274022,0.011037096028627302,0.009171588767102924,0.0708284112328971,1500,1500
text,kimi,Kimi,Task8,task7,Support Column,offset,3.0,12.5,-0.006666666666666654,0.015745266709839844,0.672028225337496,-0.03752738941795275,0.02419405608461944,1500,1500
text,kimi,Kimi,Task9,task8,Hidden Object Count,perspective,0.0,1.0,0.015333333333333365,0.01718634758537077,0.3723675188119596,-0.01835190793399334,0.04901857460066007,1500,1500
text,kimi,Kimi,Task9,task8,Hidden Object Count,offset,3.0,12.5,0.010000000000000009,0.017187658665651293,0.560736520924666,-0.023687810984676524,0.04368781098467654,1500,1500
text,kimi,Kimi,Target1,main,Object Counting,perspective,0.0,1.0,-0.027999999999999997,0.012510595909335058,0.02528805052709144,-0.05252076798229671,-0.0034792320177032855,1500,1500
text,kimi,Kimi,Target1,main,Object Counting,offset,3.0,12.5,-0.006666666666666682,0.012520450989501358,0.5944454033597408,-0.031206750606089344,0.01787341727275598,1500,1500
text,kimi,Kimi,Target2a,task10,Mental Rotation 90,perspective,0.0,1.0,-0.0020000000000000018,0.01430059455651337,0.8887844844212969,-0.030029165330766206,0.026029165330766203,1500,1500
text,kimi,Kimi,Target2a,task10,Mental Rotation 90,offset,3.0,12.5,-0.006000000000000005,0.014300221357981079,0.6748268077274104,-0.03402843386164292,0.02202843386164291,1500,1500
text,kimi,Kimi,Target2b,task11,Mental Rotation 180,perspective,0.0,1.0,0.01733333333333334,0.013906621250142507,0.2127119242501743,-0.009923644316945972,0.04459031098361265,1500,1500
text,kimi,Kimi,Target2b,task11,Mental Rotation 180,offset,3.0,12.5,-0.010666666666666685,0.01390885970618338,0.44320301106497806,-0.03792803169078611,0.01659469835745274,1500,1500
text,qwen3b,Qwen3B,Task2,task9,Cluster Count,perspective,0.0,1.0,0.01200000000000001,0.015354540545095276,0.4345538768185656,-0.01809489946838673,0.04209489946838675,1500,1500
text,qwen3b,Qwen3B,Task2,task9,Cluster Count,offset,3.0,12.5,0.0026666666666666505,0.015356027331984363,0.8621475234277498,-0.0274311469040227,0.032764480237356,1500,1500
text,qwen3b,Qwen3B,Task3,task3,Column Count,perspective,0.0,1.0,0.0,0.0013328885181972405,1.0,-0.0026124614956665915,0.0026124614956665915,1500,1500
text,qwen3b,Qwen3B,Task3,task3,Column Count,offset,3.0,12.5,0.0,0.0013328885181972405,1.0,-0.0026124614956665915,0.0026124614956665915,1500,1500
text,qwen3b,Qwen3B,Task4,task4,Layer Count,perspective,0.0,1.0,0.024000000000000007,0.010851167305314451,0.027060437031350613,0.002731712081583685,0.04526828791841633,1500,1500
text,qwen3b,Qwen3B,Task4,task4,Layer Count,offset,3.0,12.5,0.007999999999999993,0.010859033677462842,0.4613541317083777,-0.013283706007827176,0.029283706007827162,1500,1500
text,qwen3b,Qwen3B,Task5,task5,Visible Object Count,perspective,0.0,1.0,0.0006666666666666665,0.0017623206915457442,0.7052431866535258,-0.002787481888762992,0.004120815222096326,1500,1500
text,qwen3b,Qwen3B,Task5,task5,Visible Object Count,offset,3.0,12.5,-0.0006666666666666665,0.0017623206915457442,0.7052431866535258,-0.004120815222096326,0.002787481888762992,1500,1500
text,qwen3b,Qwen3B,Task6,task2,Top Layer,perspective,0.0,1.0,0.0006666666666666765,0.01460166118551658,0.9635867531061018,-0.02795258925694582,0.02928592259027917,1500,1500
