group,model,display_name,task,source_task,task_name,accuracy,n_correct,n_incorrect,n,binom_se,ci_low_wilson,ci_high_wilson,chance_level,chance_adjusted_accuracy,chance_adjusted_ci_low,chance_adjusted_ci_high,above_chance_p
mcq345,qwen3CQ,Qwen 3CQ,Target2b,task11,Mental Rotation 180,0.2816666666666667,845,2155,3000,0.008212400289715456,0.26585746043618563,0.29803432400411245,0.3333333333333333,-0.07749999999999994,-0.10121380934572151,-0.05294851399383129,0.9999999994937941
mcq345,claude4CQ,Claude 4CQ,Task1,task1,Object Categorization,0.4776666666666667,1433,1567,3000,0.00911959835047981,0.459832226479524,0.49555823086017076,0.25,0.3035555555555556,0.27977630197269865,0.32741097448022766,4.160909665210913e-159
mcq345,claude4CQ,Claude 4CQ,Task2,task9,Cluster Count,0.47533333333333333,1426,1574,3000,0.009117593899627166,0.4575057984199501,0.493223960432847,0.25,0.30044444444444446,0.2766743978932668,0.32429861391046266,4.73689412196159e-156
mcq345,claude4CQ,Claude 4CQ,Task3,task3,Column Count,0.3596666666666667,1079,1921,3000,0.008761783599921413,0.3426830889333175,0.37700918778327114,0.25,0.14622222222222225,0.12357745191109,0.16934558371102817,1.0414959497052178e-40
mcq345,claude4CQ,Claude 4CQ,Task4,task4,Layer Count,0.42633333333333334,1279,1721,3000,0.009029086742711436,0.40874160430071116,0.4441134863272368,0.25,0.23511111111111113,0.2116554724009482,0.25881798176964904,1.8581705172096944e-98
mcq345,claude4CQ,Claude 4CQ,Task5,task5,Visible Object Count,0.577,1731,1269,3000,0.009019811527964428,0.5592337283085951,0.5945693217590249,0.25,0.43599999999999994,0.41231163774479346,0.45942576234536653,1.431330493e-315
mcq345,claude4CQ,Claude 4CQ,Task6,task2,Top Layer,0.413,1239,1761,3000,0.008989456787444575,0.3955028473394313,0.43071968050624476,0.25,0.2173333333333333,0.19400379645257507,0.24095957400832635,5.556389948165496e-85
mcq345,claude4CQ,Claude 4CQ,Task7,task6,Direct Support,0.4563333333333333,1369,1631,3000,0.009093829817010034,0.43857658556584905,0.4742017713222106,0.25,0.2751111111111111,0.25143544742113205,0.29893569509628076,3.192604636492569e-132
mcq345,claude4CQ,Claude 4CQ,Task8,task7,Support Column,0.49133333333333334,1474,1526,3000,0.00912733785373897,0.47346627458104323,0.5092225596104802,0.25,0.3217777777777778,0.2979550327747243,0.34563007948064034,1.4067909059010745e-177
mcq345,claude4CQ,Claude 4CQ,Task9,task8,Hidden Object Count,0.3303333333333333,991,2009,3000,0.008587068227325361,0.31372903177851624,0.3473716068170742,0.25,0.10711111111111109,0.08497204237135499,0.12982880908943226,3.98167734690505e-23
mcq345,claude4CQ,Claude 4CQ,Target1,main,Object Counting,0.38333333333333336,1150,1850,3000,0.008876727792170733,0.3660946401056077,0.40087043554951357,0.25,0.1777777777777778,0.15479285347414362,0.20116058073268475,1.9762909296280923e-58
mcq345,claude4CQ,Claude 4CQ,Target2a,task10,Mental Rotation 90,0.3416149068322981,330,636,966,0.015258780938090159,0.31238776717496347,0.3720967919530425,0.25,0.12215320910973082,0.08318368956661797,0.1627957226040567,1.286341984333723e-10
