modality,model,task,task_display,perspective_delta,t_perspective,p_perspective,n_struct_perspective,offset_delta,t_offset,p_offset,n_struct_offset,p_perspective_fdr,p_offset_fdr
text,qwen3b,task7,Support Column,0.011333333333333334,1.4642425008740436,0.14354727105877324,750,0.006,0.9044242668457156,0.36606128102548097,750,0.33133957707216766,0.8860996638648567
text,qwen3b,task8,Hidden Object Count,0.01,1.3876058055028797,0.16566978853608383,750,-0.0006666666666666666,-0.08938354744469423,0.9288009931973537,750,0.33133957707216766,0.9288009931973538
text,qwen3b,task9,task9,0.012,1.8797968519996249,0.06052371010638101,750,0.0026666666666666666,0.4080213723814858,0.6833745911910444,750,0.20174570035460337,0.8860996638648567
text,qwen3b,task10,task10,0.034666666666666665,2.4706355117062127,0.01370891094043844,750,0.008,0.7300693428230037,0.4655760709782196,750,0.0685445547021922,0.8860996638648567
text,qwen3b,task11,task11,0.007333333333333333,0.5971816855471439,0.5505665640324542,750,-0.002,-0.18923656357827917,0.8499586781783235,750,0.7865236629035061,0.9288009931973538
text,qwen3b,main,Object Counting,0.004,1.0,0.31763345838622337,750,-0.009333333333333334,-2.656412541539419,0.008065778002948401,750,0.5293890973103723,0.08065778002948401
text,qwen,task2,Top Layer,0.052,4.562435727381349,5.9068545036986725e-06,750,0.012,1.152584214341373,0.2494488021749432,750,1.624384988517135e-05,0.548787364784875
text,qwen,task3,Column Count,-0.07933333333333334,-6.410665591957878,2.5628641939366056e-10,750,-0.002,-0.18211952210843207,0.8555382060316543,750,2.819150613330266e-09,0.9426737787456564
text,qwen,task4,Layer Count,-0.04733333333333333,-4.364530897906541,1.4528914411644408e-05,750,-0.0033333333333333335,-0.3232299675777271,0.7466113067503588,750,3.19636117056177e-05,0.9426737787456564
text,qwen,task5,Visible Object Count,-0.06066666666666667,-5.706504319478864,1.6612392836721237e-08,750,-0.022,-2.5178588925241248,0.012014525131023525,750,9.136816060196681e-08,0.06607988822062939
text,qwen,task6,Direct Support,0.027333333333333334,2.4718290604245583,0.0136636072810168,750,-0.016666666666666666,-1.5256253239121613,0.12752532954384713,750,0.021471382870169257,0.3506946562455796
text,qwen,task7,Support Column,-0.002,-0.16838760540781345,0.8663238173486691,750,-0.006,-0.5084585527284966,0.6112815216383741,750,0.8663238173486693,0.9426737787456564
text,qwen,task8,Hidden Object Count,0.012666666666666666,2.199537346091179,0.028144563309379554,750,-0.0006666666666666666,-0.10475934217616818,0.9165948189731921,750,0.038698774550396886,0.9426737787456564
text,qwen,task9,task9,0.008666666666666666,1.0723290664387535,0.2839176348610904,750,0.0033333333333333335,0.4238624667757042,0.6717878161656607,750,0.31230939834719945,0.9426737787456564
text,qwen,task10,task10,0.037333333333333336,3.179395197318123,0.0015365564893993025,750,-0.016,-1.5315562391252386,0.12605421305254655,750,0.002817020230565388,0.3506946562455796
text,qwen,task11,task11,0.022,1.9447735597065818,0.05217618467698997,750,-0.0006666666666666666,-0.0719338198280652,0.9426737787456565,750,0.06377089238298775,0.9426737787456564
text,qwen,main,Object Counting,-0.04933333333333333,-5.168737659020858,3.026135769712803e-07,750,-0.024,-2.8596358484262523,0.004359218409294951,750,1.109583115561361e-06,0.04795140250224446
text,vla0,task2,Top Layer,0.005333333333333333,0.7425591754294384,0.45798142325621194,750,-0.0026666666666666666,-0.3711771327835366,0.7106105670483864,750,0.5597550728687035,0.7895672967204294
text,vla0,task3,Column Count,0.0013333333333333333,1.0,0.31763345838622337,750,0.0,,,750,0.4367460052810571,
text,vla0,task4,Layer Count,0.013333333333333334,1.3080605005070922,0.19125408443224173,750,-0.010666666666666666,-1.073959493877691,0.2831866979954745,750,0.3506324881257765,0.4719778299924575
text,vla0,task5,Visible Object Count,0.008666666666666666,2.8502739090797387,0.004488181712195787,750,-0.004666666666666667,-1.3004662189099594,0.1938412185963084,750,0.049369998834153654,0.4719778299924575
text,vla0,task6,Direct Support,-0.005333333333333333,-0.47446736944461587,0.6353049580697758,750,-0.025333333333333333,-2.29382048280255,0.02207681989532838,750,0.6662986189858948,0.10913781166901115
text,vla0,task7,Support Column,0.018666666666666668,1.8412168363310888,0.0659850820481355,750,-0.009333333333333334,-1.121088988064865,0.2626092925724748,750,0.24194530084316349,0.4719778299924575
text,vla0,task8,Hidden Object Count,0.011333333333333334,1.5598757343187113,0.11921165490252104,750,-0.006,-0.7861333755002525,0.4320379844085681,750,0.26226564078554626,0.6171971205836687
text,vla0,task9,task9,0.006,1.0,0.31763345838622337,750,-0.0033333333333333335,-0.5695461787410155,0.5691563093162475,750,0.4367460052810571,0.7114453866453094
text,vla0,task10,task10,0.028666666666666667,2.301737228560414,0.021623555147720828,750,0.020666666666666667,2.139210034182019,0.032741343500703346,750,0.11892955331246455,0.10913781166901115
text,vla0,task11,task11,0.004666666666666667,0.4314042233296678,0.6662986189858948,750,0.002,0.22663521807098913,0.8207692418839293,750,0.6662986189858948,0.8207692418839294
text,vla0,main,Object Counting,0.008666666666666666,1.6141765584971195,0.10691030829836924,750,0.018,3.0944769941991352,0.0020449447013029453,750,0.26226564078554626,0.020449447013029455
